video_id,cohort_id,views_6h,likes_6h,comments_6h,views_24h,likes_24h,comments_24h,views_log,likes_log,comments_log,viral_score,viral
iiWNKfPrnM8,cohort3,640,0,5,644,0,5,6.4692503167957724,0.0,1.791759469228055,4.060726137000269,0
xcCqwINGNg8,cohort3,26407,111,124,27344,119,131,10.216288975780872,4.787491742782046,4.882801922586371,8.054301100561773,1
ZBnRHPhlumM,cohort3,431,25,14,421,25,14,6.045005314036012,3.258096538021482,2.70805020110221,4.875237169938273,0
uSsuA2zjPKg,cohort3,15732,73,0,32857,135,0,10.399950525466284,4.912654885736052,0.0,7.7137667810005865,0
i2PmasH5y9k,cohort3,13909,187,70,15182,212,89,9.627931659882188,5.3612921657094255,4.499809670330265,7.835127612675166,0
XsT0jJTCJgc,cohort3,1306,18,0,1330,20,2,7.193685818395112,3.044522437723423,1.0986122886681098,5.339429451220905,0
lB7NBsPpqJ0,cohort3,2038,110,0,2477,144,1,7.815207062189088,4.976733742420574,0.6931471805599453,6.2514590780956185,0
gLR2W1FJ8P0,cohort3,567,6,1,573,6,1,6.352629396319567,1.9459101490553128,0.6931471805599453,4.4646654005643285,0
Od4mfgOFaqg,cohort3,862,108,5,1154,169,23,7.051855622955894,5.135798437050262,3.1780538303479458,6.08965828792341,0
2aCu6ux25MI,cohort3,711,1,0,814,2,0,6.703188113240863,1.0986122886681098,0.0,4.35149655454495,0
l0DI2iB9ldw,cohort3,1077,6,1,2254,8,3,7.720905251936779,2.19722457733622,1.3862943611198906,5.430339960474922,0
g3fEtSyQloo,cohort3,1837,7,0,2084,9,0,7.642524134232902,2.302585092994046,0.0,5.276290008437955,0
Q3kRndcte0E,cohort3,15008,83,0,109350,1143,2,11.602318171010516,7.042286171939743,1.0986122886681098,9.183937983055042,1
Vo1vv_Ym5Cc,cohort3,1759,44,1,3619,114,1,8.194229304819817,4.74493212836325,0.6931471805599453,6.40933193945686,0
w3d9nSdTGRM,cohort3,691,4,2,717,5,5,6.576469569048224,1.791759469228055,1.791759469228055,4.662585529120157,0
_ORVex7RgzM,cohort3,2329,34,0,23512,345,4,10.065308738667603,5.846438775057725,1.6094379124341005,7.954060666961289,0
Gn-mNHd7TXk,cohort3,307,0,1,328,0,2,5.796057750765372,0.0,1.0986122886681098,3.587495879326034,0
LLmASTg5zTA,cohort3,183,3,0,195,4,0,5.278114659230517,1.6094379124341005,0.0,3.64970016926854,0
kpg781AgU9k,cohort3,16,3,0,19,3,0,2.995732273553991,1.3862943611198906,0.0,2.2133276724683615,0
fH31AerO5ug,cohort3,1352,44,6,1346,46,8,7.205635176410364,3.8501476017100575,2.19722457733622,5.6981478440928575,0
H76uwtIK1os,cohort3,107,3,0,116,4,0,4.762173934797756,1.6094379124341005,0.0,3.340135734608884,0
ME1MlJrfHb4,cohort3,953,9,0,1052,11,0,6.959398512133975,2.4849066497880004,0.0,4.921111102216785,0
0TeTLQd_Kgk,cohort3,2617,52,2,4764,118,5,8.469052816088302,4.77912349311153,1.791759469228055,6.694344684509246,0
3OMGaTmBCvQ,cohort3,184,0,0,217,0,0,5.384495062789089,0.0,0.0,3.2306970376734534,0
fQmxUC8Di9E,cohort3,2739,215,0,2775,228,0,7.928766321626695,5.43372200355424,0.0,6.387376394042288,0
ddfqymtwp6E,cohort3,738,7,0,801,8,0,6.687108607866515,2.19722457733622,0.0,4.671432537920775,0
p-AFzTLnii0,cohort3,1297,8,0,1307,8,0,7.176254532017144,2.19722457733622,0.0,4.964920092411152,0
BBLOOKAzogo,cohort3,4177,65,2,10209,196,4,9.231122911158712,5.2832037287379885,1.6094379124341005,7.284578656560033,0
SVOkqzzftNc,cohort3,2877,7,0,23449,19,0,10.062625773874425,2.995732273553991,0.0,6.936295146390852,0
7DQBb4TSuFg,cohort3,32493,240,1,38037,307,1,10.546340939041606,5.730099782973574,0.6931471805599453,8.11614921637303,1
FY0b8kfAWqE,cohort3,16395,283,15,25086,520,29,10.13010506266184,6.255750041753367,3.4011973816621555,8.29490778828933,1
HpW0hFFUfzM,cohort3,21953,1765,1,23641,1900,2,10.070780070310322,7.550135342488429,1.0986122886681098,8.417369873799531,1
BZAK7bPZRIk,cohort3,47164,1462,12,129975,3053,16,11.775105097009586,8.024207485778577,2.833213344056216,9.755646638344947,1
NiFzocRzTnA,cohort3,1090812,19374,252,1369233,25522,314,14.129762017348554,10.14733528540863,5.752572638825633,12.097315059914283,1
EkzAJE9jCMI,cohort3,16984,505,0,56698,952,1,10.945511852876011,6.859614903654202,0.6931471805599453,8.69450630087786,1
fKzhDNkNHgY,cohort3,11396,38,0,16207,55,0,9.693260226488464,4.02535169073515,0.0,7.023561643113623,0
KokmUFJhgOE,cohort3,63386,4691,34,174158,7806,45,12.067723954045366,8.962776046120291,3.828641396489095,10.312331325912217,1
2XfipfdRetU,cohort3,9471,175,1,19984,309,1,9.902737271145424,5.736572297479192,0.6931471805599453,7.7319287699870065,0
GG5Xop0s-Ss,cohort3,5069,62,0,24009,98,0,10.0862256892153,4.59511985013459,0.0,7.430271368569557,0
LPA4ajdgboQ,cohort3,31901,914,53,33323,947,54,10.4140331370948,6.854354502255021,4.007333185232471,8.705459551456633,1
XleHdxX7c1o,cohort3,15619,204,14,20211,250,12,9.9140317664118,5.525452939131784,2.5649493574615367,7.862549877332769,0
xq3JtqC2tic,cohort3,14088,294,2,22626,409,3,10.026899162451327,6.016157159698354,1.3862943611198906,7.959616081492291,0
-pzEgeUEUJI,cohort3,31083,151,0,31126,151,0,10.345830888730728,5.0238805208462765,0.0,7.71466268949232,0
t62ES0itVWA,cohort3,29991,204,0,48153,267,0,10.782159487503774,5.5909869805108565,0.0,8.14659178665552,1
2kru4OOwgs8,cohort3,20976,160,6,38698,245,13,10.56356903889074,5.5053315359323625,2.6390573296152584,8.25364661707568,1
HEgID7liLxk,cohort3,4460,111,2,13269,607,11,9.493261127326251,6.410174881966167,2.4849066497880004,7.8674998059644015,0
Y7bkcfBLQvs,cohort3,20798,47,1,48757,95,1,10.794624565526744,4.564348191467836,0.6931471805599453,7.915393914812392,0
AYveM58k934,cohort3,3979,54,2,11383,139,7,9.339964139769688,4.941642422609304,2.079441541679836,7.294415364812587,0
pfPskj9X5RQ,cohort3,5174,53,9,7335,90,11,8.9005490139363,4.51085950651685,2.4849066497880004,6.942077925295636,0
Z8L3kUjfzII,cohort3,31512,507,7,48631,594,9,10.792037029428558,6.38856140554563,2.302585092994046,8.62204914862023,1
ftWyAkuA9A0,cohort3,9561,43,1,13428,75,2,9.505171826581176,4.330733340286331,1.0986122886681098,7.112184326901416,0
6l0IAaeQV9o,cohort3,10762,87,4,10846,88,4,9.291643823040218,4.48863636973214,1.6094379124341005,7.082520995987182,0
RqTZOQYeSj8,cohort3,16854,332,1,23800,473,1,10.077482875583607,6.161207321695077,0.6931471805599453,7.964166639914682,0
4KhF-pf3yTQ,cohort3,3301,55,2,3676,63,3,8.209852481301272,4.158883083359672,1.3862943611198906,6.312205849900654,0
T6GNRDi5b3Y,cohort3,7174,221,18,7220,226,18,8.884748726451182,5.424950017481403,2.9444389791664403,7.252778139031775,0
tnDGeZGeUWI,cohort3,7478,5,0,18960,12,1,9.850139517034204,2.5649493574615367,0.6931471805599453,6.748883235514978,0
IDZ2lFb2wTM,cohort3,3334,15,0,4788,23,0,8.47407690034261,3.1780538303479458,0.0,6.037862289309949,0
D58uQP2HG94,cohort3,34383,168,0,38282,194,0,10.552761212402086,5.272999558563747,0.0,7.913556595010375,0
ifqkEvuqHbI,cohort3,43131,1338,10,127373,2121,17,11.754882919660057,7.660114319173928,2.8903717578961645,9.640001223337828,1
lzaOLtEOqgI,cohort3,13462,23,1,23251,34,1,10.05414642882124,3.555348061489413,0.6931471805599453,7.1684069937955615,0
PUI3hPRXTEQ,cohort3,4395,25,0,5369,23,0,8.58858318750291,3.1780538303479458,0.0,6.10656606160613,0
15JwNKYy6Vg,cohort3,25461,735,67,34032,999,79,10.435085921117388,6.907755278982137,4.382026634673881,8.771580799832462,1
RvJAtMuBV5g,cohort3,4620,54,0,11884,101,0,9.383032379794294,4.624972813284271,0.0,7.017311271861858,0
