video_id,views,likes,comments,tracked_at
4zsaw5a2LlE,417472,0,0,2026-04-23 04:21:07.213818
8RsnBgq3ClM,37489,334,2,2026-04-23 04:21:07.213822
7CdV10Ezbec,177967,1789,10,2026-04-23 04:21:07.213825
vyqf_fSfM14,366256,4468,10,2026-04-23 04:21:07.213829
CrPcSO3Ksqc,41611,0,0,2026-04-23 04:21:07.213833
kCTZ0o7MS3M,33606,0,2,2026-04-23 04:21:07.213837
c8ksB0mVzPU,792796,30114,453,2026-04-23 04:21:07.213840
y5-pCtvyeU0,55224,0,1,2026-04-23 04:21:07.213844
kxOtnzuYHo0,46306,200,0,2026-04-23 04:21:07.213847
ODYlII65Ezg,37364,219,1,2026-04-23 04:21:07.213851
tI67adV3pXY,32777,298,0,2026-04-23 04:21:07.213854
JbiHS32r48w,150185,0,1,2026-04-23 04:21:07.213857
qCPUL-n2zEM,35434,0,1,2026-04-23 04:21:07.213860
GB92jfG0Aww,60465,1039,43,2026-04-23 04:21:07.213864
Bl66lNBD-U4,30315,398,1,2026-04-23 04:21:07.213867
MKvmhS2WElo,29049,0,2,2026-04-23 04:21:07.213871
jaIQWlDTLUY,238553,3939,6,2026-04-23 04:21:07.213874
iVnxwkHDD3Q,35787,695,30,2026-04-23 04:21:07.213878
n22uDbchZYs,39403,166,0,2026-04-23 04:21:07.213881
LEIgQtVwJGk,36057,709,4,2026-04-23 04:21:07.213884
6vaEALEbKmo,35171,171,1,2026-04-23 04:21:07.213888
fAwjFITVLzs,82384,0,1,2026-04-23 04:21:07.213891
hB6WnL80HNI,21097,820,11,2026-04-23 04:21:07.213894
2A4C6Dpiod4,58230,238,2,2026-04-23 04:21:07.213898
ncSecGdH7rg,65508,1406,7,2026-04-23 04:21:07.213901
dVXQazWGqVQ,1244978,4190,11,2026-04-23 04:21:07.213904
DF9WGou4ffA,71785,0,1,2026-04-23 04:21:07.213907
GElOK8JXlXI,59651,929,9,2026-04-23 04:21:07.213910
-tccKyTazdw,31861,182,0,2026-04-23 04:21:07.213914
GVir39PsE6g,31184,77,1,2026-04-23 04:21:07.213917
jPyMJ5W-AOE,67931,0,3,2026-04-23 04:21:07.213920
9PjbZzKVdZw,30456,190,0,2026-04-23 04:21:07.213923
7oBKFVItzsU,665701,0,2,2026-04-23 08:27:19.777929
ppFBhivpaGE,1145426,2535,0,2026-04-23 08:27:19.777940
VrBgkDnksDI,455538,2287,2,2026-04-23 08:27:19.777944
Ef-7oED0mq4,163917,9433,285,2026-04-23 08:27:19.777947
7EmZyk8MLNQ,325106,0,2,2026-04-23 08:27:19.777950
_Dtsn9DzIbs,255373,2009,0,2026-04-23 08:27:19.777952
G-pTfMOY9QE,496080,8664,510,2026-04-23 08:27:19.777955
4XAK7-VZX6Q,652142,0,4,2026-04-23 08:27:19.777957
rvMbdIJnM1I,244546,0,2,2026-04-23 08:27:19.777959
LMSKC7drnMA,115470,0,1,2026-04-23 08:27:19.777962
71-KRdBGlsI,954690,19810,57,2026-04-23 08:27:19.777964
gIZoO48ePNs,305566,1326,1,2026-04-23 08:27:19.777967
9Z6s2IeafHM,75391,434,1,2026-04-23 08:27:19.777970
Z4ufGu70hYk,142125,0,1,2026-04-23 08:27:19.777972
Q3ggtN1Y-OM,251773,774,1,2026-04-23 08:27:19.777974
aJWuMnhx294,142150,814,2,2026-04-23 08:27:19.777977
GH0WPFOB4Jg,245594,1741,2,2026-04-23 08:27:19.777979
-dUURnwXGpQ,96520,2597,78,2026-04-23 08:27:19.777982
4zsaw5a2LlE,426363,0,0,2026-04-23 08:27:19.777984
8RsnBgq3ClM,38083,341,2,2026-04-23 08:27:19.777986
7CdV10Ezbec,184735,1829,10,2026-04-23 08:27:19.777988
vyqf_fSfM14,403671,4950,12,2026-04-23 08:27:19.777996
CrPcSO3Ksqc,41653,0,0,2026-04-23 08:27:19.777998
kCTZ0o7MS3M,33760,0,2,2026-04-23 08:27:19.778000
c8ksB0mVzPU,894123,32509,487,2026-04-23 08:27:19.778003
y5-pCtvyeU0,63324,0,1,2026-04-23 08:27:19.778005
kxOtnzuYHo0,51263,219,0,2026-04-23 08:27:19.778007
ODYlII65Ezg,37790,223,1,2026-04-23 08:27:19.778010
tI67adV3pXY,32837,300,0,2026-04-23 08:27:19.778012
JbiHS32r48w,159707,0,1,2026-04-23 08:27:19.778014
qCPUL-n2zEM,35942,0,1,2026-04-23 08:27:19.778017
GB92jfG0Aww,73757,1340,43,2026-04-23 08:27:19.778019
Bl66lNBD-U4,30644,402,1,2026-04-23 08:27:19.778021
MKvmhS2WElo,29235,0,2,2026-04-23 08:27:19.778023
jaIQWlDTLUY,257429,4278,7,2026-04-23 08:27:19.778025
iVnxwkHDD3Q,37126,709,31,2026-04-23 08:27:19.778028
n22uDbchZYs,39966,170,0,2026-04-23 08:27:19.778030
LEIgQtVwJGk,36999,717,4,2026-04-23 08:27:19.778032
6vaEALEbKmo,35312,172,1,2026-04-23 08:27:19.778034
fAwjFITVLzs,92995,0,1,2026-04-23 08:27:19.778036
hB6WnL80HNI,21101,822,11,2026-04-23 08:27:19.778039
2A4C6Dpiod4,59707,250,2,2026-04-23 08:27:19.778041
ncSecGdH7rg,67548,1464,7,2026-04-23 08:27:19.778043
dVXQazWGqVQ,1483474,4514,12,2026-04-23 08:27:19.778047
DF9WGou4ffA,79563,0,1,2026-04-23 08:27:19.778049
GElOK8JXlXI,65879,1043,9,2026-04-23 08:27:19.778051
-tccKyTazdw,33599,183,0,2026-04-23 08:27:19.778053
GVir39PsE6g,31211,76,1,2026-04-23 08:27:19.778055
jPyMJ5W-AOE,85277,0,3,2026-04-23 08:27:19.778057
9PjbZzKVdZw,30761,193,0,2026-04-23 08:27:19.778060
7oBKFVItzsU,666570,0,2,2026-04-23 10:12:10.344493
ppFBhivpaGE,1233051,2619,0,2026-04-23 10:12:10.344512
VrBgkDnksDI,480098,2382,2,2026-04-23 10:12:10.344517
Ef-7oED0mq4,165385,9480,286,2026-04-23 10:12:10.344520
7EmZyk8MLNQ,331565,0,2,2026-04-23 10:12:10.344522
_Dtsn9DzIbs,259871,2024,0,2026-04-23 10:12:10.344524
G-pTfMOY9QE,518275,8992,527,2026-04-23 10:12:10.344526
4XAK7-VZX6Q,675023,0,4,2026-04-23 10:12:10.344528
rvMbdIJnM1I,249866,0,2,2026-04-23 10:12:10.344531
LMSKC7drnMA,116133,0,1,2026-04-23 10:12:10.344533
71-KRdBGlsI,1043038,20774,60,2026-04-23 10:12:10.344536
gIZoO48ePNs,305733,1325,1,2026-04-23 10:12:10.344538
9Z6s2IeafHM,76426,436,1,2026-04-23 10:12:10.344540
Z4ufGu70hYk,167460,0,1,2026-04-23 10:12:10.344542
Q3ggtN1Y-OM,253340,777,1,2026-04-23 10:12:10.344543
aJWuMnhx294,144998,824,2,2026-04-23 10:12:10.344545
GH0WPFOB4Jg,252798,1772,2,2026-04-23 10:12:10.344547
-dUURnwXGpQ,98130,2616,78,2026-04-23 10:12:10.344549
4zsaw5a2LlE,429522,0,0,2026-04-23 10:12:10.344551
8RsnBgq3ClM,38362,343,2,2026-04-23 10:12:10.344553
7CdV10Ezbec,187813,1855,10,2026-04-23 10:12:10.344555
vyqf_fSfM14,424321,5243,12,2026-04-23 10:12:10.344556
CrPcSO3Ksqc,41653,0,0,2026-04-23 10:12:10.344559
kCTZ0o7MS3M,33828,0,2,2026-04-23 10:12:10.344560
c8ksB0mVzPU,937693,33453,496,2026-04-23 10:12:10.344562
y5-pCtvyeU0,66109,0,1,2026-04-23 10:12:10.344565
kxOtnzuYHo0,53313,220,0,2026-04-23 10:12:10.344567
ODYlII65Ezg,38039,224,1,2026-04-23 10:12:10.344569
tI67adV3pXY,32869,301,0,2026-04-23 10:12:10.344570
JbiHS32r48w,163632,0,1,2026-04-23 10:12:10.344572
qCPUL-n2zEM,36185,0,1,2026-04-23 10:12:10.344573
GB92jfG0Aww,80813,1400,43,2026-04-23 10:12:10.344575
