video_id,views,likes,comments,tracked_at,cohort_id
saYo7NymFEM,1230,4,3,2026-05-07 04:56:02.368975,cohort2
ekNk1J1mvNA,6940,171,2,2026-05-07 04:56:02.368975,cohort2
PFgDUxXW13o,2136,78,1,2026-05-07 04:56:02.368975,cohort2
DEBOR0fU3wk,693,8,1,2026-05-07 04:56:02.368975,cohort2
h2J5qCMqoDQ,1093,8,0,2026-05-07 04:56:02.368975,cohort2
9sDO26vcgHA,2210,221,2,2026-05-07 04:56:02.368975,cohort2
P5gnG3RSnxg,1234,31,0,2026-05-07 04:56:02.368975,cohort2
1b_vbZjeflg,1518,29,0,2026-05-07 04:56:02.368975,cohort2
7NfP8a2mh04,2638,6,0,2026-05-07 04:56:02.368975,cohort2
WG93JdMIC20,1333,10,0,2026-05-07 04:56:02.368975,cohort2
_d6P-_ncL7w,605,12,1,2026-05-07 04:56:02.368975,cohort2
hcSEYzYuPA8,1535,4,0,2026-05-07 04:56:02.368975,cohort2
I2kw1nSu3fc,939,13,0,2026-05-07 04:56:02.368975,cohort2
PYPSQfBL4Fc,1324,7,0,2026-05-07 04:56:02.368975,cohort2
NQ0DPM5zf5M,1575,12,0,2026-05-07 04:56:02.368975,cohort2
h6_Ai6urk5I,660,17,0,2026-05-07 04:56:02.368975,cohort2
aXZ4n21QM5M,1169,48,16,2026-05-07 04:56:02.368975,cohort2
WE0BMrTjCbQ,1293,19,0,2026-05-07 04:56:02.368975,cohort2
exYOPLvW-II,952,13,5,2026-05-07 04:56:02.368975,cohort2
dMtGQ2EfaS4,1120,19,3,2026-05-07 04:56:02.368975,cohort2
BoVryGyxefU,1151,20,2,2026-05-07 04:56:02.368975,cohort2
RlklbNyKIcU,1336,0,0,2026-05-07 04:56:02.368975,cohort2
tuyV7-6rWO8,659,6,0,2026-05-07 04:56:02.368975,cohort2
D8Mu8ZPDPww,1560,14,0,2026-05-07 04:56:02.368975,cohort2
iwuv_Jf-Bks,735,40,5,2026-05-07 04:56:02.368975,cohort2
ZQh7s45Yt2o,1292,70,0,2026-05-07 04:56:02.368975,cohort2
3YKQ2lUo8A0,1045,41,0,2026-05-07 04:56:02.368975,cohort2
nMqoyOvyuXc,887,22,0,2026-05-07 04:56:02.368975,cohort2
z8ZDpw9mhUk,1381,20,2,2026-05-07 04:56:02.368975,cohort2
OXHWRsQMzrY,1221,15,0,2026-05-07 04:56:02.368975,cohort2
w8znJO6mWXc,360754,2536,4,2026-05-07 07:01:22.371006,cohort2
7YLMkOfd7F0,93203,447,3,2026-05-07 07:01:22.371006,cohort2
11cHbsqnFos,209154,709,7,2026-05-07 07:01:22.371006,cohort2
SqpDw2nNBm0,40213,1151,2,2026-05-07 07:01:22.371006,cohort2
m75AZ0rapz8,78779,2407,45,2026-05-07 07:01:22.371006,cohort2
9OHJuaecqkc,71749,1247,21,2026-05-07 07:01:22.371006,cohort2
t6iOhN7P3j0,36101,466,10,2026-05-07 07:01:22.371006,cohort2
kwLUVYZALDs,51623,356,0,2026-05-07 07:01:22.371006,cohort2
nGmwS0r_MrI,49078,95,3,2026-05-07 07:01:22.371006,cohort2
QyyKZYnD7pw,36353,1509,23,2026-05-07 07:01:22.371006,cohort2
Kp3gEkzeNNg,98275,2885,124,2026-05-07 07:01:22.371006,cohort2
DZEfFdbb1SE,11195,610,17,2026-05-07 07:01:22.371006,cohort2
5qsrCRPpxbk,17838,64,37,2026-05-07 07:01:22.371006,cohort2
mt29cU4uI-g,75880,2005,15,2026-05-07 07:01:22.371006,cohort2
fh7vCfaVwno,84985,5222,71,2026-05-07 07:01:22.371006,cohort2
gqK8TggkzfI,22781,26,3,2026-05-07 07:01:22.371006,cohort2
gv9ztxapyL0,28618,36,7,2026-05-07 07:01:22.371006,cohort2
62WigB3G_Pk,29585,27,1,2026-05-07 07:01:22.371006,cohort2
m9UnGE7ykOY,26852,1741,20,2026-05-07 07:01:22.371006,cohort2
XdSG7DA6EOg,12212,52,0,2026-05-07 07:01:22.371006,cohort2
0R28PVc8qh0,52073,3754,207,2026-05-07 07:01:22.371006,cohort2
PfkNba1O6ec,11191,52,0,2026-05-07 07:01:22.371006,cohort2
5JKuVN3L7mc,17808,31,4,2026-05-07 07:01:22.371006,cohort2
8jwQIV2UwbM,16274,39,0,2026-05-07 07:01:22.371006,cohort2
BczMFhe-MLM,27012,1023,47,2026-05-07 07:01:22.371006,cohort2
2tp29gpaRWU,40356,208,0,2026-05-07 07:01:22.371006,cohort2
TAlkqlnakh0,17722,48,1,2026-05-07 07:01:22.371006,cohort2
3f6ZNPbl5jk,9049,147,0,2026-05-07 07:01:22.371006,cohort2
OZH7YBNTz4M,15542,85,2,2026-05-07 07:01:22.371006,cohort2
ZysGncmQPeU,9954,17,5,2026-05-07 07:01:22.371006,cohort2
vDXsOkdFqDk,7264,42,2,2026-05-07 07:01:22.371006,cohort2
T9uMCRuDc_k,7665,45,1,2026-05-07 07:01:22.371006,cohort2
9m8pt3EBtc0,9998,8,2,2026-05-07 07:01:22.371006,cohort2
9DAO0ESJKcc,5274,68,4,2026-05-07 07:01:22.371006,cohort2
sEpUpn00RbY,46985,125,0,2026-05-07 07:01:22.371006,cohort2
CL-33_0cc6k,12497,150,2,2026-05-07 07:01:22.371006,cohort2
9-0rCG2UuDA,8943,21,0,2026-05-07 07:01:22.371006,cohort2
9Wj5am9s5U8,15640,239,3,2026-05-07 07:01:22.371006,cohort2
KptiqNWaoxc,4017,53,5,2026-05-07 07:01:22.371006,cohort2
5nkyl-TlJhg,6211,183,2,2026-05-07 07:01:22.371006,cohort2
3DhM40l_UT8,5830,38,3,2026-05-07 07:01:22.371006,cohort2
g3nC6ah4Jeo,154667,1827,0,2026-05-07 07:01:22.371006,cohort2
HZHchMlBFxk,30589,4377,56,2026-05-07 07:01:22.371006,cohort2
WsERYs4K_eI,5143,179,15,2026-05-07 07:01:22.371006,cohort2
czoj2EZaK50,4473,668,12,2026-05-07 07:01:22.371006,cohort2
aZHON20BuD0,9348,271,2,2026-05-07 07:01:22.371006,cohort2
RKm1-7OCVPw,12354,47,1,2026-05-07 07:01:22.371006,cohort2
OazBqSpCEoA,38173,312,1,2026-05-07 07:01:22.371006,cohort2
